actor_user_id,target_user_id,event_type,surface,dwell_time_ms,created_at
11,860,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:23.383965
11,860,FULL_PROFILE_OPEN,FULL_PROFILE,,2026-04-27T21:14:23.386434
11,860,DWELL_RECORDED,FULL_PROFILE,24515,2026-04-27T21:14:23.387973
11,912,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:23.502014
11,865,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:23.610926
11,865,FULL_PROFILE_OPEN,FULL_PROFILE,,2026-04-27T21:14:23.612751
11,865,DWELL_RECORDED,FULL_PROFILE,30439,2026-04-27T21:14:23.614201
11,982,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:23.747412
11,66,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:24.417396
11,525,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:25.150733
11,699,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:25.496672
13,860,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:26.061265
13,860,FULL_PROFILE_OPEN,FULL_PROFILE,,2026-04-27T21:14:26.062550
13,860,DWELL_RECORDED,FULL_PROFILE,21746,2026-04-27T21:14:26.063473
13,43,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:26.646387
13,43,FULL_PROFILE_OPEN,FULL_PROFILE,,2026-04-27T21:14:26.647738
13,43,DWELL_RECORDED,FULL_PROFILE,30465,2026-04-27T21:14:26.649021
13,214,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:26.757776
13,691,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:26.912325
13,866,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:27.039955
13,866,FULL_PROFILE_OPEN,FULL_PROFILE,,2026-04-27T21:14:27.041718
13,866,DWELL_RECORDED,FULL_PROFILE,20578,2026-04-27T21:14:27.043778
13,894,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:27.187460
13,577,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:27.345508
13,405,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:27.605267
13,405,FULL_PROFILE_OPEN,FULL_PROFILE,,2026-04-27T21:14:27.607523
13,405,DWELL_RECORDED,FULL_PROFILE,50046,2026-04-27T21:14:27.608289
13,663,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:28.743276
13,663,FULL_PROFILE_OPEN,FULL_PROFILE,,2026-04-27T21:14:28.745410
13,663,DWELL_RECORDED,FULL_PROFILE,41134,2026-04-27T21:14:28.746698
15,516,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:29.101083
15,516,FULL_PROFILE_OPEN,FULL_PROFILE,,2026-04-27T21:14:29.103001
15,516,DWELL_RECORDED,FULL_PROFILE,29468,2026-04-27T21:14:29.104575
15,458,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:29.468224
15,121,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:29.705669
15,121,FULL_PROFILE_OPEN,FULL_PROFILE,,2026-04-27T21:14:29.707748
15,121,DWELL_RECORDED,FULL_PROFILE,27917,2026-04-27T21:14:29.709100
15,374,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:29.862997
15,573,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:30.200159
15,326,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:30.910265
15,320,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:31.462677
15,638,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:31.915142
17,628,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:32.544115
17,628,FULL_PROFILE_OPEN,FULL_PROFILE,,2026-04-27T21:14:32.545201
17,628,DWELL_RECORDED,FULL_PROFILE,19539,2026-04-27T21:14:32.545959
17,966,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:32.647985
17,966,FULL_PROFILE_OPEN,FULL_PROFILE,,2026-04-27T21:14:32.649243
17,966,DWELL_RECORDED,FULL_PROFILE,33787,2026-04-27T21:14:32.650308
17,267,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:32.929957
17,905,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:33.111332
17,905,FULL_PROFILE_OPEN,FULL_PROFILE,,2026-04-27T21:14:33.113199
17,905,DWELL_RECORDED,FULL_PROFILE,30722,2026-04-27T21:14:33.114713
17,704,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:33.284866
17,704,FULL_PROFILE_OPEN,FULL_PROFILE,,2026-04-27T21:14:33.286961
17,704,DWELL_RECORDED,FULL_PROFILE,37961,2026-04-27T21:14:33.288364
17,991,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:33.509552
17,991,FULL_PROFILE_OPEN,FULL_PROFILE,,2026-04-27T21:14:33.511634
17,991,DWELL_RECORDED,FULL_PROFILE,35786,2026-04-27T21:14:33.514801
17,321,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:33.835489
17,321,FULL_PROFILE_OPEN,FULL_PROFILE,,2026-04-27T21:14:33.838434
17,321,DWELL_RECORDED,FULL_PROFILE,55496,2026-04-27T21:14:33.841376
17,277,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:34.542208
17,277,FULL_PROFILE_OPEN,FULL_PROFILE,,2026-04-27T21:14:34.563534
17,277,DWELL_RECORDED,FULL_PROFILE,11938,2026-04-27T21:14:34.568827
17,567,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:35.120527
17,181,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:35.826208
17,733,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:36.572985
18,593,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:36.869024
18,593,FULL_PROFILE_OPEN,FULL_PROFILE,,2026-04-27T21:14:36.870782
18,593,DWELL_RECORDED,FULL_PROFILE,42878,2026-04-27T21:14:36.871671
18,624,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:37.601215
18,624,FULL_PROFILE_OPEN,FULL_PROFILE,,2026-04-27T21:14:37.603042
18,624,DWELL_RECORDED,FULL_PROFILE,20767,2026-04-27T21:14:37.604807
18,48,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:37.754950
18,48,FULL_PROFILE_OPEN,FULL_PROFILE,,2026-04-27T21:14:37.756764
18,48,DWELL_RECORDED,FULL_PROFILE,41749,2026-04-27T21:14:37.758704
18,1021,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:38.061327
18,580,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:38.343175
18,512,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:38.475668
18,512,FULL_PROFILE_OPEN,FULL_PROFILE,,2026-04-27T21:14:38.477535
18,512,DWELL_RECORDED,FULL_PROFILE,26350,2026-04-27T21:14:38.479373
18,962,CARD_CLICK,FEED_CARD,,2026-04-27T21:14:38.908849
