actor_user_id,target_user_id,interaction_type,created_at
11,81,NO,2026-04-27T21:14:23.016170
11,922,NO,2026-04-27T21:14:23.161701
11,918,NO,2026-04-27T21:14:23.273176
11,860,NO,2026-04-27T21:14:23.389200
11,912,NO,2026-04-27T21:14:23.503424
11,865,NO,2026-04-27T21:14:23.615469
11,982,NO,2026-04-27T21:14:23.749348
11,393,NO,2026-04-27T21:14:23.904916
11,194,NO,2026-04-27T21:14:24.018215
11,379,NO,2026-04-27T21:14:24.182446
11,171,NO,2026-04-27T21:14:24.305510
11,66,NO,2026-04-27T21:14:24.456939
11,459,NO,2026-04-27T21:14:24.726892
11,159,NO,2026-04-27T21:14:24.835655
11,297,NO,2026-04-27T21:14:24.946482
11,328,NO,2026-04-27T21:14:25.047352
11,525,NO,2026-04-27T21:14:25.152302
11,281,NO,2026-04-27T21:14:25.267389
11,828,NO,2026-04-27T21:14:25.383381
11,699,NO,2026-04-27T21:14:25.498611
13,914,NO,2026-04-27T21:14:25.664960
13,602,NO,2026-04-27T21:14:25.827399
13,860,NO,2026-04-27T21:14:26.064255
13,305,NO,2026-04-27T21:14:26.163651
13,971,NO,2026-04-27T21:14:26.315985
13,838,NO,2026-04-27T21:14:26.430280
13,214,NO,2026-04-27T21:14:26.759386
13,691,NO,2026-04-27T21:14:26.914169
13,866,NO,2026-04-27T21:14:27.044955
13,894,NO,2026-04-27T21:14:27.189214
13,411,NO,2026-04-27T21:14:27.499670
13,405,YES,2026-04-27T21:14:27.609355
13,657,NO,2026-04-27T21:14:27.832525
13,364,NO,2026-04-27T21:14:28.097702
13,195,NO,2026-04-27T21:14:28.355833
13,327,NO,2026-04-27T21:14:28.470230
15,213,NO,2026-04-27T21:14:28.908857
15,516,NO,2026-04-27T21:14:29.105767
15,458,NO,2026-04-27T21:14:29.470353
15,121,NO,2026-04-27T21:14:29.710046
15,374,NO,2026-04-27T21:14:29.865228
15,480,NO,2026-04-27T21:14:30.077118
15,573,NO,2026-04-27T21:14:30.201650
15,49,NO,2026-04-27T21:14:30.316103
15,495,NO,2026-04-27T21:14:30.557577
15,278,NO,2026-04-27T21:14:30.674674
15,714,NO,2026-04-27T21:14:31.051982
15,951,NO,2026-04-27T21:14:31.314704
15,320,NO,2026-04-27T21:14:31.464789
15,487,NO,2026-04-27T21:14:31.576345
15,908,NO,2026-04-27T21:14:31.796889
15,638,NO,2026-04-27T21:14:31.916619
15,155,NO,2026-04-27T21:14:32.020601
15,752,NO,2026-04-27T21:14:32.167871
15,128,NO,2026-04-27T21:14:32.275091
17,628,NO,2026-04-27T21:14:32.546848
