actor_user_id,target_user_id,persona,budget_diff,planning_diff,social_diff,same_budget,same_planning_style,same_social_battery,shared_languages_count,shared_activities_count,shared_destination_types_count,shared_experience_types_count,shared_looking_for_what_count,language_score,activity_score,destination_score,experience_score,intent_score,static_score,interest_probability,card_click,full_profile_open,dwell_time_ms,saved_profile,interaction_type,matched_proxy,label,relevance_score
11,81,PASSIVE_BROWSER,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0,0,0,0,NO,0,0,0
11,922,SOCIAL_EXPLORER,0,1,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23.33,0.3503,0,0,0,0,NO,0,0,5.33
11,918,PASSIVE_BROWSER,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,17.5,0.0972,0,0,0,0,NO,0,0,0
11,860,SPONTANEOUS_ADVENTURER,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,17.5,0.3316,1,1,24515,0,NO,0,1,16.08
11,912,SPONTANEOUS_ADVENTURER,0,1,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23.33,0.0913,1,0,0,0,NO,0,0,5.33
11,865,SPONTANEOUS_ADVENTURER,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,17.5,0.3309,1,1,30439,0,NO,0,1,18.15
11,982,BUDGET_CONSCIOUS,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23.33,0.3109,1,0,0,0,NO,0,0,5.33
11,393,CAUTIOUS_INTROVERT,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,17.5,0.0716,0,0,0,0,NO,0,0,0
11,194,CAUTIOUS_INTROVERT,1,0,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23.33,0.0,0,0,0,0,NO,0,0,5.33
11,379,CAUTIOUS_INTROVERT,0,1,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23.33,0.3375,0,0,0,0,NO,0,0,5.33
11,171,BUDGET_CONSCIOUS,1,0,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23.33,0.3022,0,0,0,0,NO,0,0,5.33
11,66,SELECTIVE_PLANNER,0,0,0,1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,35.0,0.4236,1,0,0,0,NO,0,0,17.0
11,459,CAUTIOUS_INTROVERT,0,0,0,1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,35.0,0.3732,0,0,0,0,NO,0,0,17.0
11,159,BUDGET_CONSCIOUS,1,0,0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,29.17,0.3401,0,0,0,0,NO,0,0,11.17
11,297,BUDGET_CONSCIOUS,1,0,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23.33,0.3399,0,0,0,0,NO,0,0,5.33
11,328,SELECTIVE_PLANNER,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23.33,0.0,0,0,0,0,NO,0,0,5.33
11,525,CAUTIOUS_INTROVERT,0,0,1,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,29.17,0.1905,1,0,0,0,NO,0,0,11.17
11,281,PASSIVE_BROWSER,1,0,0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,29.17,0.2727,0,0,0,0,NO,0,0,11.17
11,828,SPONTANEOUS_ADVENTURER,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23.33,0.2738,0,0,0,0,NO,0,0,5.33
11,699,SOCIAL_EXPLORER,0,0,0,1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,35.0,0.449,1,0,0,0,NO,0,0,17.0
13,914,SOCIAL_EXPLORER,0,1,2,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,17.5,0.1421,0,0,0,0,NO,0,0,0
13,602,SOCIAL_EXPLORER,1,0,2,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,17.5,0.2279,0,0,0,0,NO,0,0,0
13,860,SOCIAL_EXPLORER,2,0,0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23.33,0.352,1,1,21746,0,NO,0,1,20.94
13,305,SOCIAL_EXPLORER,0,1,0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,29.17,0.3616,0,0,0,0,NO,0,0,11.17
13,971,SOCIAL_EXPLORER,2,2,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,11.67,0.3369,0,0,0,0,NO,0,0,0
13,838,SOCIAL_EXPLORER,1,2,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,17.5,0.2888,0,0,0,0,NO,0,0,0
13,43,SOCIAL_EXPLORER,0,1,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23.33,0.5487,1,1,30465,1,SAVE_ONLY,0,1,53.99
13,214,SOCIAL_EXPLORER,2,0,0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23.33,0.4517,1,0,0,0,NO,0,0,5.33
13,691,SOCIAL_EXPLORER,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,NO,0,0,0
13,866,SOCIAL_EXPLORER,2,0,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,17.5,0.3779,1,1,20578,0,NO,0,1,14.7
13,894,SOCIAL_EXPLORER,1,0,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23.33,0.3292,1,0,0,0,NO,0,0,5.33
13,577,SOCIAL_EXPLORER,1,0,0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,29.17,0.5206,1,0,0,1,SAVE_ONLY,0,1,41.17
13,411,SOCIAL_EXPLORER,2,0,0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23.33,0.3587,0,0,0,0,NO,0,0,5.33
